id,stable_height
95,5
706,2
2854,1
3093,4
4283,3
5449,1
5625,2
7860,1
8051,1
8812,3
10265,1
11329,2
11485,1
13901,3
15142,1
15176,3
15598,1
16132,3
16584,2
16840,2
16864,3
17375,3
17774,4
19140,4
19671,2
19834,2
19985,3
21275,4
21380,2
21728,1
23345,3
23418,3
24335,3
24604,5
26374,4
26566,3
27296,3
27572,3
27686,4
28146,1
28412,5
29213,3
29410,5
29443,4
29720,3
30147,2
30154,2
30813,1
30895,5
32835,1
33287,3
34108,2
34114,2
34252,3
34299,1
34477,3
34504,2
35120,2
36273,4
36647,3
36733,4
36818,1
37705,2
38348,3
38456,5
38463,2
39034,3
39083,2
39689,3
39736,1
39787,4
40053,2
40534,2
42846,4
43823,2
44092,2
44561,2
46366,1
47517,1
47714,1
48210,3
48662,1
48911,1
49738,2
50682,2
51047,4
51350,2
51358,3
51742,3
52173,3
52566,3
53571,2
53690,3
53776,2
54106,1
54175,3
54301,2
54722,3
54994,2
55065,2
55360,4
56121,3
57055,1
57233,5
57361,3
58573,2
58649,4
58971,3
59340,2
59595,4
59737,3
59816,2
61023,4
61254,2
61653,1
62582,5
62708,2
62948,3
63231,4
63533,1
64426,1
64510,3
64548,3
65240,3
65880,2
66512,3
67525,3
67803,2
68278,3
68332,3
68336,4
72268,2
73169,3
73291,2
73607,2
73682,2
74252,1
75673,2
76320,2
77121,3
77735,3
77856,2
78413,2
79194,2
79534,4
79542,1
79836,3
80405,2
81589,3
81667,2
81850,3
81990,4
82475,4
83152,4
83166,1
83743,2
85657,5
86855,3
88122,2
88459,4
88575,2
89578,4
89966,3
91735,1
91892,4
93230,3
93632,2
93803,4
94032,3
95115,3
96274,4
97119,3
97125,1
97450,5
97521,2
98063,2
98114,2
98444,3
99074,2
99081,3
99283,3
99787,2
100156,1
100357,2
100998,2
102119,2
102131,5
102213,2
103351,3
103671,3
104154,2
104298,4
104408,5
105572,2
105753,4
106117,2
106155,2
106207,2
106615,4
106839,1
107131,1
107154,1
108129,6
108162,3
108306,1
108313,4
109548,4
110737,2
111486,3
111571,4
111936,3
112148,3
112408,3
114074,2
114456,2
115147,5
116446,2
116758,3
117059,4
117554,4
117913,3
118233,2
118392,1
118644,5
119874,3
120797,2
121757,2
123349,4
123544,3
123994,6
125981,4
126835,3
127129,3
128888,3
129188,4
129287,3
129464,4
129853,3
129905,3
130200,2
130227,3
130325,3
130451,3
130956,4
131307,3
131690,3
131853,1
132664,2
132993,2
133736,1
133791,2
133859,1
134412,2
135144,2
137131,2
138612,2
138697,3
139770,4
140013,5
140787,1
142146,2
143614,1
143947,2
144874,3
145326,1
146340,1
146432,5
146463,4
